fips,name,value
48001,Anderson,48024
48003,Andrews,14338
48005,Angelina,69884
48007,Aransas,17892
48009,Archer,7973
48011,Armstrong,2021
48013,Atascosa,30533
48015,Austin,19832
48017,Bailey,7064
48019,Bandera,10562
48021,Bastrop,38263
48023,Baylor,4385
48025,Bee,25135
48027,Bell,191088
48029,Bexar,1185394
48031,Blanco,5972
48033,Borden,799
48035,Bosque,15125
48037,Bowie,81665
48039,Brazoria,191707
48041,Brazos,121862
48043,Brewster,8681
48045,Briscoe,1971
48047,Brooks,8204
48049,Brown,34371
48051,Burleson,13625
48053,Burnet,22677
48055,Caldwell,26392
48057,Calhoun,19053
48059,Callahan,11859
48061,Cameron,2.6012E+5
48063,Camp,9904
48065,Carson,6576
48067,Cass,29982
48069,Castro,9.07E+3
48071,Chambers,20088
48073,Cherokee,41049
48075,Childress,5953
48077,Clay,10024
48079,Cochran,4377
48081,Coke,3424
48083,Coleman,9.71E+3
48085,Collin,264036
48087,Collingsworth,3573
48089,Colorado,18383
48091,Comal,51832
48093,Comanche,13381
48095,Concho,3044
48097,Cooke,30777
48099,Coryell,64213
48101,Cottle,2247
48103,Crane,4652
48105,Crockett,4078
48107,Crosby,7304
48109,Culberson,3407
48111,Dallam,5461
48113,Dallas,1.85281E+6
48115,Dawson,14349
48117,Deaf Smith,19153
48119,Delta,4857
48121,Denton,273525
48123,DeWitt,1.884E+4
48125,Dickens,2571
48127,Dimmit,10433
48129,Donley,3696
48131,Duval,12918
48133,Eastland,18488
48135,Ector,118934
48137,Edwards,2266
48139,Ellis,85167
48141,El Paso,5.9161E+5
48143,Erath,27991
48145,Falls,17712
48147,Fannin,24804
48149,Fayette,20095
48151,Fisher,4842
48153,Floyd,8497
48155,Foard,1794
48157,Fort Bend,225421
48159,Franklin,7802
48161,Freestone,15818
48163,Frio,13472
48165,Gaines,14123
48167,Galveston,217399
48169,Garza,5143
48171,Gillespie,17204
48173,Glasscock,1447
48175,Goliad,5.98E+3
48177,Gonzales,17205
48179,Gray,23967
48181,Grayson,95021
48183,Gregg,104948
48185,Grimes,18828
48187,Guadalupe,64873
48189,Hale,34671
48191,Hall,3905
48193,Hamilton,7733
48195,Hansford,5848
48197,Hardeman,5283
48199,Hardin,4.132E+4
48201,Harris,2818199
48203,Harrison,57483
48205,Hartley,3634
48207,Haskell,6.82E+3
48209,Hays,65614
48211,Hemphill,3.72E+3
48213,Henderson,58543
48215,Hidalgo,383545
48217,Hill,27146
48219,Hockley,24199
48221,Hood,28981
48223,Hopkins,28833
48225,Houston,21375
48227,Howard,32343
48229,Hudspeth,2915
48231,Hunt,64343
48233,Hutchinson,25689
48235,Irion,1629
48237,Jack,6981
48239,Jackson,13039
48241,Jasper,31102
48243,Jeff Davis,1946
48245,Jefferson,239397
48247,Jim Hogg,5109
48249,Jim Wells,37679
48251,Johnson,97165
48253,Jones,1.649E+4
48255,Karnes,12455
48257,Kaufman,5.222E+4
48259,Kendall,14589
48261,Kenedy,4.6E+2
48263,Kent,1.01E+3
48265,Kerr,36304
48267,Kimble,4122
48269,King,354
48271,Kinney,3119
48273,Kleberg,30274
48275,Knox,4837
48277,Lamar,43949
48279,Lamb,15072
48281,Lampasas,13521
48283,La Salle,5254
48285,Lavaca,1.869E+4
48287,Lee,12854
48289,Leon,12665
48291,Liberty,52726
48293,Limestone,20946
48295,Lipscomb,3143
48297,Live Oak,9556
48299,Llano,11631
48301,Loving,107
48303,Lubbock,222636
48305,Lynn,6758
48307,McCulloch,8778
48309,McLennan,189123
48311,McMullen,817
48313,Madison,10931
48315,Marion,9984
48317,Martin,4956
48319,Mason,3423
48321,Matagorda,36928
48323,Maverick,36378
48325,Medina,27312
48327,Menard,2252
48329,Midland,106611
48331,Milam,22946
48333,Mills,4531
48335,Mitchell,8016
48337,Montague,17274
48339,Montgomery,182201
48341,Moore,17865
48343,Morris,1.32E+4
48345,Motley,1532
48347,Nacogdoches,54753
48349,Navarro,39926
48351,Newton,13569
48353,Nolan,16594
48355,Nueces,291145
48357,Ochiltree,9128
48359,Oldham,2278
48361,Orange,80509
48363,Palo Pinto,25055
48365,Panola,22035
48367,Parker,64785
48369,Parmer,9863
48371,Pecos,14675
48373,Polk,30687
48375,Potter,97874
48377,Presidio,6637
48379,Rains,6715
48381,Randall,89673
48383,Reagan,4514
48385,Real,2412
48387,Red River,14317
48389,Reeves,15852
48391,Refugio,7976
48393,Roberts,1025
48395,Robertson,15511
48397,Rockwall,25604
48399,Runnels,11294
48401,Rusk,43735
48403,Sabine,9586
48405,San Augustine,7999
48407,San Jacinto,16372
48409,San Patricio,58749
48411,San Saba,5401
48413,Schleicher,2.99E+3
48415,Scurry,18634
48417,Shackelford,3316
48419,Shelby,22034
48421,Sherman,2858
48423,Smith,151309
48425,Somervell,5.36E+3
48427,Starr,40518
48429,Stephens,9.01E+3
48431,Sterling,1438
48433,Stonewall,2013
48435,Sutton,4135
48437,Swisher,8133
48439,Tarrant,1170103
48441,Taylor,119655
48443,Terrell,1.41E+3
48445,Terry,13218
48447,Throckmorton,1.88E+3
48449,Titus,24009
48451,Tom Green,98458
48453,Travis,576407
48455,Trinity,11445
48457,Tyler,16646
48459,Upshur,3.137E+4
48461,Upton,4447
48463,Uvalde,2.334E+4
48465,Val Verde,38721
48467,Van Zandt,37944
48469,Victoria,74361
48471,Walker,50917
48473,Waller,2.339E+4
48475,Ward,13115
48477,Washington,26154
48479,Webb,133239
48481,Wharton,39955
48483,Wheeler,5879
48485,Wichita,122378
48487,Wilbarger,15121
48489,Willacy,17705
48491,Williamson,139551
48493,Wilson,2.265E+4
48495,Winkler,8626
48497,Wise,34679
48499,Wood,2.938E+4
48501,Yoakum,8786
48503,Young,18126
48505,Zapata,9279
48507,Zavala,12162
